id,title,author,subtitle,description,coverImage,type,category,niche,author_popularity,book_popularity,length,status
1,The Runway of Life,Peter Legge,Lessons on Success from Master Business Leader Joe Segal,"A collection of success lessons and insights from business leader Joe Segal, as told by Peter Legge.",runway_of_life.png,Non-Fiction,Business,Leadership,0.50,0.40,Medium,available
2,The Power of a Praying Woman,Stormie Omartian,,"A spiritual guide offering prayers and insights to help women deepen their faith and prayer life.",power_praying_woman.png,Non-Fiction,Spirituality,Christian Life,0.85,0.90,Medium,available
3,QBQ! The Question Behind the Question,John G. Miller,What to Really Ask Yourself to Eliminate Blame Complaining and Procrastination,"A concise guide to personal accountability that helps eliminate blame and procrastination in work and life.",qbq.png,Non-Fiction,Business,Personal Accountability,0.70,0.80,Short,available
4,Your Best Year Yet!,Jinny S. Ditzler,A Proven Method for Making the Next Twelve Months the Most Successful Ever,"A systematic guide to setting goals and achieving personal success over the course of a year.",best_year_yet.png,Non-Fiction,Self-Help,Goal Setting,0.60,0.65,Medium,available
5,Class Acts,Mary Mitchell,How Good Manners Create Good Relationships and Good Relationships Create Good Business,"A guide to business etiquette and how manners directly impact professional relationships and success.",class_acts.png,Non-Fiction,Business,Etiquette,0.40,0.35,Medium,available
6,101 Hymn Stories,Kenneth W. Osbeck,Inspiring factual backgrounds and experiences that prompted the writing of 101 favorite hymns,"A collection of the inspiring stories and history behind 101 of the most cherished Christian hymns.",hymn_stories.png,Non-Fiction,Music,Christian Hymns,0.50,0.60,Medium,available
7,Personal Balance Sheet,Randall M. Craig,A Practical Career Planning Guide,"A strategic guide for managing your career like a business asset to ensure long-term growth and stability.",personal_balance_sheet.png,Non-Fiction,Business,Career Management,0.30,0.25,Medium,available
8,Life Management for Busy Women,Elizabeth George,Living Out God's Plan with Passion and Purpose,"A spiritual and practical guide for women to manage their time and priorities according to biblical principles.",life_management.png,Non-Fiction,Spirituality,Christian Life for Women,0.80,0.85,Medium,available
9,Hours of Power,Robert H. Schuller,My Daily Book of Motivation and Inspiration,"A daily devotional book offering motivation and inspiration from the founder of the Crystal Cathedral.",hours_of_power.png,Non-Fiction,Spirituality,Daily Devotional,0.70,0.60,Long,available
10,Transform Your Life,Geshe Kelsang Gyatso,A Blissful Journey,"A practical guide to transforming daily problems into opportunities for personal growth and happiness through Buddhist wisdom.",transform_your_life.png,Non-Fiction,Spirituality,Buddhism,0.75,0.65,Medium,available
11,Teams at the Top,Jon R. Katzenbach,Unleashing the Potential of Both Teams and Individual Leaders,"A business guide exploring how senior leadership teams can balance individual performance with collective team goals for success.",teams_at_the_top.png,Non-Fiction,Business,Leadership,0.70,0.65,Medium,available
12,Change Your Thoughts - Change Your Life,Dr. Wayne W. Dyer,Living the Wisdom of the Tao,"A modern interpretation of the Tao Te Ching offering 81 essays on how to apply ancient wisdom to today's life.",change_your_thoughts.png,Non-Fiction,Self-Help,Spirituality,0.95,0.90,Medium,available
13,The Amazing Millionaire Formula,Andrew Skelly,Discover the 7 Hidden Steps for Attracting Unlimited Wealth Success and Happiness,"A guide revealing seven hidden steps to attracting wealth success and happiness into your life.",millionaire_formula.png,Non-Fiction,Self-Help,Wealth Creation,0.20,0.15,Medium,available
14,Life on the Edge,Dr. James Dobson,A Young Adult's Guide to a Meaningful Future,"A comprehensive guide for young adults navigating the critical decisions and challenges of early adulthood.",life_on_the_edge.png,Non-Fiction,Christian Life,Young Adult,0.85,0.80,Medium,available
15,Leviathan,Scott Westerfeld,,"In an alternate 1914, the opposing sides of World War I are the Darwinians, who use fabricated beasts as weapons, and the Clankers, who use steam-powered machines.",leviathan.png,Fiction,Young Adult,Steampunk,0.90,0.85,Medium,available
